id,error_type,sentence_text,gold_label,gold_trigger,pred_label,pred_trigger,gold_ix,pred_ix,1_tok_error,1_tok_error_missclf,specialised context/creative language,Lexical sparse,plausible: saliency,ambiguous trigger,example,,,notes
aapl14_8,mismatch_label,"2017 has seen modest growth in the overall smartphone market - IHS Markit has reported seven percent year-on-year grow - but Apple ' s growth has been lagging the growth of the market , with IHS reporting two percent growth in a similar period .",FinancialReport,growth,SalesVolume,growth,249,249,,,,,,y,y,,,
aapl14_8,missing,"2017 has seen modest growth in the overall smartphone market - IHS Markit has reported seven percent year-on-year grow - but Apple ' s growth has been lagging the growth of the market , with IHS reporting two percent growth in a similar period .",Macroeconomics,growth,,,239,,,,,,,,y,,,
aapl14_9,missing,"Tim Cook and his team are facing a similar decision to previous leading manufacturers such as Nokia , Blackberry , Palm , and others .",Macroeconomics,leading,,,267,,,,,,,,y,,,
aapl14_12,spurious,If the iPhone X had maintained the flagship price of previous years then unit sales and market share numbers could have risen this quarter and throughout 2018 .,,,SalesVolume,numbers,,342,1,,,,,,,,,
aapl14_12,missing,If the iPhone X had maintained the flagship price of previous years then unit sales and market share numbers could have risen this quarter and throughout 2018 .,Product/Service,price,,,332,,,,,,,,,,,
aapl14_12,missing,If the iPhone X had maintained the flagship price of previous years then unit sales and market share numbers could have risen this quarter and throughout 2018 .,Macroeconomics,share,,,341,,,,,,,,,,,
aapl14_14,spurious,"That will keep the accountants and shareholders happy , but with no significant year-on-year growth in iPhone sales expected , there ' s every chance that 2017 and 2018 will see Apple lose market share to the competition .",,,SalesVolume,sales,,379,1,,,,,,,,,
aapl14_14,spurious,"That will keep the accountants and shareholders happy , but with no significant year-on-year growth in iPhone sales expected , there ' s every chance that 2017 and 2018 will see Apple lose market share to the competition .",,,Macroeconomics,competition,,399,,,,,y,,y,,,
aapl15_0,missing,Here ' s how Apple gets to a $ 2 trillion market value,FinancialReport,value,,,12,,,,,,,,,,,
aapl15_1,mismatch_label,- Expect strongest growth from services and Asia,FinancialReport,growth,SalesVolume,growth,16,16,,,,,,y,y,,,need background + world knowledge
aapl15_2,spurious,Apple is currently the world ' s most-valuable company .,Macroeconomics,company,Macroeconomics,world,,25,1,1,,,,,,,,
aapl15_3,missing,"Apple ' s market capitalization has topped $ 900 billion and seems on track to hit $ 1 trillion by year-end , with expectations for a strong holiday season .",FinancialReport,capitalization,,,35,,,,,,,,,,,
aapl15_4,spurious,"Apple stock is preforming in line with my 2015 prediction , a forecast I repeated again this April , when such a number seemed outlandish .",,,SecurityValue,stock,,62,,,,,y,,,,,
aapl15_5,missing,"So , what will it take for Apple shares to warrant a $ 2 trillion market cap ?",FinancialReport,cap,,,103,,,,,y,,,,,,abbreviations should be normalized
aapl15_7,missing,"Or you can keep the case for $ 2 trillion simpler : Apple has an already world-class hardware business that sold $ 141.3 billion of iPhones in the year ending this September , while its services business is up to $ 30 billion a year , growing at 23 % .",SalesVolume,business,,,186,,1,,,,,,,,,
aapl15_9,missing,The quickest way from $ 1 trillion to $ 2 trillion is to get a higher stock multiple on top of earnings growth .,FinancialReport,multiple,,,251,,,,,y,,,,,,
aapl15_9,missing,The quickest way from $ 1 trillion to $ 2 trillion is to get a higher stock multiple on top of earnings growth .,Profit/Loss,growth,,,256,,1,,,,,y,,,,
aapl15_10,missing,"The longer they grow services at 20 % or better , the better .",Revenue,grow,,,261,,1,,,,,y,,,,
aapl15_11,missing,Apple will get a better multiple as services become a bigger part of its pie . ' ',FinancialReport,multiple,,,277,,,,,,,,,,,
aapl15_11,missing,Apple will get a better multiple as services become a bigger part of its pie . ' ',Revenue,part,,,283,,1,,,y,,,,,,
aapl15_12,missing,The biggest differences between the prosaic case and the Buck Rogers case lie in how long it might take Apple to double in value .,FinancialReport,double,,,311,,1,,y,y,,,y,,,highly specialized context
aapl15_13,missing,"But here ' s what to think about when you ask , can Apple really get to $ 2 trillion ?",FinancialReport,get,,,330,,1,,,y,,,,,,
aapl15_17,missing,"This could be a $ 60 billion business within four years , even with some slowing in growth .",Revenue,slowing,,,392,,,,,,,y,,,,
aapl15_17,missing,"This could be a $ 60 billion business within four years , even with some slowing in growth .",Revenue,business,,,384,,1,,,,,,,,,
aapl15_18,spurious,"Services could soon produce 20 % of Apple ' s revenue and a third of its profit , Zino predicts .",,,Revenue,revenue,,406,1,,,,y,,,,,
aapl15_19,mismatch_label,Morgan Stanley ' s Katy Huberty adds that services could even grow 30 % annually if people demand virtual-reality games and other AR-based services .,Revenue,grow,SalesVolume,grow,428,428,,,,,,y,,,,
aapl15_19,missing,Morgan Stanley ' s Katy Huberty adds that services could even grow 30 % annually if people demand virtual-reality games and other AR-based services .,Macroeconomics,demand,,,434,,,,,,,,,,,
aapl15_20,missing,"Services businesses also command higher multiples , as Zino points out .",FinancialReport,multiples,,,447,,,,,,,,,,,
aapl15_21,mismatch_label,"If we assume a $ 60 billion services business with 33 % profit margins , services alone would generate as much as $ 20 billion in profit .",Profit/Loss,generate,Revenue,generate,472,472,1,,,,,y,y,,,
aapl15_22,mismatch_label,Apple made $ 64.1 billion before taxes in fiscal 2017 .,Profit/Loss,made,Revenue,made,483,483,1,,,,,y,y,,,trigger ambiguity introduced due to single-token pre-processing
aapl15_26,spurious,"Apple ' s sales to greater China dropped 17 % in fiscal 2016 and another 8 % in 2017 , thanks partly to the financial-market turmoil there .",,,SalesVolume,dropped,,535,1,,,y,,,,,,
aapl15_26,missing,"Apple ' s sales to greater China dropped 17 % in fiscal 2016 and another 8 % in 2017 , thanks partly to the financial-market turmoil there .",Macroeconomics,turmoil,,,553,,,,,,,,,,,
aapl15_27,spurious,Apple ' s big issue in China is whether its consumers are rich enough to choose iPhones en masse .,,,CSR/Brand,issue,,560,,,,,,y,,,,
aapl15_28,missing,"Morgan Stanley ' s Huberty argues that Apple ' s China recovery , which began earlier this year , will be accelerated by a shift to more-expensive phones like the iPhone X .",Macroeconomics,shift,,,600,,,,,y,,,,,,
aapl15_28,missing,"Morgan Stanley ' s Huberty argues that Apple ' s China recovery , which began earlier this year , will be accelerated by a shift to more-expensive phones like the iPhone X .",Macroeconomics,recovery,,,587,,,,,y,,,,,,
aapl15_29,missing,She says Apple ' s strength selling products in China suggests the real problem has been a lack of a compelling new iPhone .,Product/Service,new,,,630,,,,,,,,,,,
aapl15_32,spurious,The combination of these factors drives our 66 % bottom-up China iPhone unit growth forecast in FY18 . ' ',,,FinancialReport,forecast,,710,,,,,y,,,,,
aapl15_33,spurious,"Boosting China unit sales by two-thirds would add $ 30 billion in revenue , even if it took longer than a year .",,,Revenue,revenue,,728,1,,,,,,,,,
aapl15_34,missing,"Apple trades at four times sales , so add about $ 120 billion to market cap for that alone .",FinancialReport,cap,,,754,,,,,y,,,,,,
aapl15_37,missing,The other thing to watch is the proposal to cut the corporate tax rate to 20 % on U.S . profits .,Expense,rate,,,828,,,,,,,,,,,
aapl15_38,missing,"Apple pays just 25 % now , so a rate cut is n't likely to be a bonanza for Apple , but it would help .",Expense,pays,,,838,,,,,,,,,,,
aapl15_43,missing,"Apple probably wo n't make cars , but Zino and Morgan Stanley ' s Huberty both see Apple trying to become a major player in the software and services that make autonomous vehicles and driverless-car services practical .",Product/Service,make,,,956,,,,,,,,,,,
aapl15_44,missing,Will Apple ' s ideas outshine Alphabet ' s or Uber ' s ?,Macroeconomics,outshine,,,995,,,,,,,,,,,
aapl15_46,mismatch_label,"Also , Loup ' s forecast suggests the shift toward autonomous cars will be fairly backloaded , hitting critical mass in the 2030s - - likely too late to drive the climb toward Apple ' s $ 2 trillion valuation .",FinancialReport,climb,SecurityValue,climb,1039,1039,,,,,,y,y,,,
aapl15_46,spurious,"Also , Loup ' s forecast suggests the shift toward autonomous cars will be fairly backloaded , hitting critical mass in the 2030s - - likely too late to drive the climb toward Apple ' s $ 2 trillion valuation .",,,SecurityValue,valuation,,1047,1,1,,,,,,,,
aapl15_47,missing,"The best play is to hold Apple shares if you like the iPhone business , and be patient with the rest .",Rating,hold,,,1054,,,,,,,,,,,
aapl15_48,mismatch_label,That services will grow steadily is close to a lock .,Revenue,grow,SalesVolume,grow,1074,1074,,,,,,y,y,,,
aapl15_49,missing,"If a tax bill passes , it will help some .",Macroeconomics,bill,,,1085,,,,,,,,,,,
aapl15_50,spurious,"With Bank of America Merrill Lynch saying Asian emerging markets face several years of growth before another recession , that rebound in Asia is another decent bet .",,,Macroeconomics,recession,,1110,1,,,,,,,,,
aapl15_50,missing,"With Bank of America Merrill Lynch saying Asian emerging markets face several years of growth before another recession , that rebound in Asia is another decent bet .",Macroeconomics,markets,,,1102,,,,,,,,,,,
aapl15_50,missing,"With Bank of America Merrill Lynch saying Asian emerging markets face several years of growth before another recession , that rebound in Asia is another decent bet .",Macroeconomics,rebound,,,1113,,,,,,,,,,,
aapl15_52,missing,"If AR and AI do become huge , they ' ll push Apple toward $ 3 trillion or more - - even if that now sounds like to infinity and beyond .",FinancialReport,push,,,1148,,,,,y,,y,,,,
aapl16_0,spurious,Apple ' s App Store Generated Over $ 11 Billion In Revenue For the Company Last Year,,,Revenue,Revenue,,11,1,,,,,,,,,
aapl16_0,missing,Apple ' s App Store Generated Over $ 11 Billion In Revenue For the Company Last Year,Revenue,Generated,,,5,,1,,,,,,,,,
aapl16_1,spurious,"Apple reported that its App Store generated over $ 26.5 billion in revenue for developers in 2017 , which was up about 30 % year over year .",,,Revenue,revenue,,29,1,,,,,,,,,
aapl16_1,missing,"Apple reported that its App Store generated over $ 26.5 billion in revenue for developers in 2017 , which was up about 30 % year over year .",Revenue,in,,,32,,1,,,,,,,,,
aapl16_2,spurious,This means that the App Store created approximately $ 11.5 billion in revenue for the company .,,,Revenue,revenue,,57,1,,,,,,,,,
aapl16_3,spurious,Growth of Services revenue is one of the major positive points for investors since it is growing faster than the rest of the company with higher margins .,,,Revenue,Growth,,62,1,,,,,,,,,
aapl16_3,missing,Growth of Services revenue is one of the major positive points for investors since it is growing faster than the rest of the company with higher margins .,Revenue,growing,,,78,,1,,,,,,,,,
aapl16_5,spurious,Below is an analysis of Apple ' s App Store revenue that can be gleaned from the past four press releases providing App Store data .,,,Revenue,revenue,,114,,,,,y,,,,,example: saliency
aapl16_8,mismatch_label,Total spending in the App Store was approximately $ 15 billion,SalesVolume,spending,Expense,spending,187,187,,,y,,,y,,,,long context
aapl16_9,spurious,Developers received over $ 10 billion in revenue,,,Revenue,revenue,,204,1,,,,,,,,,
aapl16_9,mismatch_label,Developers received over $ 10 billion in revenue,Revenue,received,SalesVolume,received,198,198,1,,,,,y,,,,
aapl16_11,mismatch_label,The first week of January generated nearly $ 500 million in billings,SalesVolume,generated,Revenue,generated,219,219,,,,,,,,,,
aapl16_14,mismatch_label,Total spending in the App Store was over $ 20 billion,SalesVolume,spending,Expense,spending,235,235,,,,,,y,y,,,
aapl16_16,spurious,"Developers received about $ 14 billion in revenue , up approximately 35 % year over year",,,Revenue,received,,261,,,,,y,,,,,
aapl16_18,spurious,"The two weeks ending on January 3 , 2016 , generated $ 1.1 billion in spending",,,Expense,spending,,308,1,1,,,,y,,,,
aapl16_18,mismatch_label,"The two weeks ending on January 3 , 2016 , generated $ 1.1 billion in spending",SalesVolume,generated,Revenue,generated,303,303,,,,,,y,,,,
aapl16_19,mismatch_label,January 1st saw $ 144 million in total spending,SalesVolume,spending,Expense,spending,317,317,,,,,,y,,,,
aapl16_21,mismatch_label,Total spending in the App Store was just shy of $ 30 billion,SalesVolume,spending,Expense,spending,321,321,,,,,,y,,,,
aapl16_22,mismatch_label,Developers received over $ 20 billion for the year and now over $ 60 billion since 2008,Revenue,received,SalesVolume,received,334,334,,,,,,y,,,,
aapl16_24,spurious,Developer ' s and Apple ' s revenue have both almost doubled in two years,,,SalesVolume,doubled,,377,1,1,,,,,,,,
aapl16_25,mismatch_label,January 1st had nearly $ 240 million spent that day $ 72 million to Apple,SalesVolume,spent,Expense,spent,388,388,,,,,,y,,,,
aapl16_27,spurious,The almost $ 3 billion increase in App Store revenue made a small dent in Apple ' s total revenue drop of about $ 18 billion .,,,Revenue,revenue,,443,1,,,,y,,,,,
aapl16_27,mismatch_label,The almost $ 3 billion increase in App Store revenue made a small dent in Apple ' s total revenue drop of about $ 18 billion .,Revenue,drop,SalesVolume,drop,454,454,,,,,,,,,,
aapl16_27,mismatch_label,The almost $ 3 billion increase in App Store revenue made a small dent in Apple ' s total revenue drop of about $ 18 billion .,Revenue,increase,SalesVolume,increase,439,439,,,,,,,,,,
aapl16_27,spurious,The almost $ 3 billion increase in App Store revenue made a small dent in Apple ' s total revenue drop of about $ 18 billion .,,,Revenue,revenue,,453,1,,,,y,,,,,
aapl16_28,spurious,However if it continues to increase at the same rate it does add almost 1.5 percentage points to the company ' s total revenue growth for the next few years .,,,Revenue,increase,,466,1,,,,y,,,,,
aapl16_28,spurious,However if it continues to increase at the same rate it does add almost 1.5 percentage points to the company ' s total revenue growth for the next few years .,,,Revenue,revenue,,484,1,,,,y,,,,,
aapl16_28,spurious,However if it continues to increase at the same rate it does add almost 1.5 percentage points to the company ' s total revenue growth for the next few years .,,,Revenue,growth,,485,1,,,,y,,,,,
aapl16_28,missing,However if it continues to increase at the same rate it does add almost 1.5 percentage points to the company ' s total revenue growth for the next few years .,Revenue,add,,,473,,1,,,,,,,,,
aapl16_28,missing,However if it continues to increase at the same rate it does add almost 1.5 percentage points to the company ' s total revenue growth for the next few years .,Revenue,it,,,471,,,,,,,,,,,coref
aapl16_28,missing,However if it continues to increase at the same rate it does add almost 1.5 percentage points to the company ' s total revenue growth for the next few years .,Revenue,continues,,,464,,1,,,,,,,,,
aapl16_30,mismatch_label,"January 1st had $ 300 million spent that day , up 25 % year over year",SalesVolume,spent,Expense,spent,500,500,,,,,,y,,,,
aapl16_31,mismatch_label,$ 890 million spent over the 7 days from Christmas Eve to New Years Eve,SalesVolume,spent,Expense,spent,513,513,,,,,,y,,,,
amzn12_0,missing,Is Amazon getting into the pharmacy business ? This is what you need to know,Macroeconomics,getting,,,2,,,,y,,,,,,,
amzn12_1,missing,"Drugstore chains and pharmacy-benefit managers are likely at risk , Wall Street analysts say",Macroeconomics,risk,,,23,,,,,,,,,,,
amzn12_3,missing,A report earlier this year that the massive online retailer was mulling a pharmaceutical-industry entry has had observers all aflutter .,Macroeconomics,entry,,,60,,,,,,,,,,,
amzn12_4,spurious,"Amazon ' s nearly $ 14 billion acquisition of Whole Foods , announced in June and closed just over two months later , sparked speculation that the grocery chain might soon house pharmacy locations .",,,Facility,closed,,83,1,1,,,,,,,,
amzn12_4,missing,"Amazon ' s nearly $ 14 billion acquisition of Whole Foods , announced in June and closed just over two months later , sparked speculation that the grocery chain might soon house pharmacy locations .",Facility,house,,,98,,,,,,,,,,,
amzn12_5,mismatch_label,"Though Amazon itself has not confirmed a potential expansion into pharmaceuticals , the possibility has sent stocks of pharmaceutical middlemen south on more than one occasion .",Macroeconomics,expansion,Product/Service,expansion,110,110,,,,,,y,,,,
amzn12_5,missing,"Though Amazon itself has not confirmed a potential expansion into pharmaceuticals , the possibility has sent stocks of pharmaceutical middlemen south on more than one occasion .",SecurityValue,stocks,,,118,,,,y,,,,,,,
amzn12_6,missing,"` ` Amazon has shown that they have mastery of the technology and innovative approaches to really transform how the marketplace delivers product , ' ' said Linda Pissott Reig , who co-chairs the FDA section of the Pittsburgh-based law firm Buchanan , Ingersoll & Rooney PC .",Macroeconomics,transform,,,146,,,,,y,,,,,,
amzn12_7,missing,The move could also have wider implications for consumers .,Macroeconomics,move,,,178,,,,,,,y,,,,
amzn12_10,spurious,"Why the prospect of Amazon ' s entry to this new market is important : After transforming such industries as publishing , consumer electronics and cloud services - - and decimating key players along the way - - Amazon has built a reputation for dominance .",,,Macroeconomics,dominance,,287,1,1,,,y,,,,,
amzn12_10,missing,"Why the prospect of Amazon ' s entry to this new market is important : After transforming such industries as publishing , consumer electronics and cloud services - - and decimating key players along the way - - Amazon has built a reputation for dominance .",Macroeconomics,decimating,,,273,,,,,y,,,,,,
amzn12_13,missing,"Those who are skeptical of Amazon ' s potential pharmacy entry have noted Amazon ' s difficulty breaking into highly regulated markets , including alcohol distribution in the U.S . Industry leaders have brought up similar points .",Macroeconomics,entry,,,340,,,,,,,,,,,
amzn12_15,missing,"CNBC , which first reported on Amazon ' s pharmacy plans in May , reported Friday that Amazon would make a decision before Thanksgiving .",Macroeconomics,plans,,,414,,,,,,,,,,,coref
amzn12_17,missing,"What companies could be affected : Though Amazon ' s involvement could presumably affect any and all parts of the pharmaceutical supply chain , including drug makers , it ' s most threatening to retail pharmacy chains like Walgreens Boots Alliance and Wal-Mart Stores Inc . according to Leerink Partners analyst Ana Gupte .",Macroeconomics,it,,,473,,,,,,,,,,,coref
amzn12_17,missing,"What companies could be affected : Though Amazon ' s involvement could presumably affect any and all parts of the pharmaceutical supply chain , including drug makers , it ' s most threatening to retail pharmacy chains like Walgreens Boots Alliance and Wal-Mart Stores Inc . according to Leerink Partners analyst Ana Gupte .",Macroeconomics,affect,,,458,,,,,,,,,,,
amzn12_17,missing,"What companies could be affected : Though Amazon ' s involvement could presumably affect any and all parts of the pharmaceutical supply chain , including drug makers , it ' s most threatening to retail pharmacy chains like Walgreens Boots Alliance and Wal-Mart Stores Inc . according to Leerink Partners analyst Ana Gupte .",Macroeconomics,involvement,,,455,,,,,,,,,,,
amzn12_18,missing,"That ' s because Amazon is expected to begin getting cash-pay and mail-order customers , eventually moving into the pharmacy-benefits manager and retail pharmacy business , Gupte said .",Macroeconomics,moving,,,515,,,,,,,y,,,,
amzn12_18,missing,"That ' s because Amazon is expected to begin getting cash-pay and mail-order customers , eventually moving into the pharmacy-benefits manager and retail pharmacy business , Gupte said .",Product/Service,customers,,,512,,,,,,,,,,,
amzn12_20,missing,"Anticipated competition from Amazon could also prompt pharmacies to diversify their offerings , Morgan Stanley analyst Ricky Goldwasser said this summer , including offering lab services like blood tests .",Product/Service,offerings,,,564,,,,,,,,,,,
amzn12_21,missing,"Middlemen called pharmacy-benefit managers ( PBMs ) , which work with drug makers to negotiate prices on behalf of health insurers and employers , are another player expected to be affected .",Macroeconomics,affected,,,613,,,,y,,,,,,,
amzn12_21,missing,"Middlemen called pharmacy-benefit managers ( PBMs ) , which work with drug makers to negotiate prices on behalf of health insurers and employers , are another player expected to be affected .",Deal,negotiate,,,597,,,,y,,,,,,,
amzn12_22,spurious,They are not a well-known part of the U.S . pharmaceutical system but have come under scrutiny in the last year amid public outrage over drug costs .,,,Expense,costs,,641,1,1,y,,,,,,,
amzn12_23,missing,"Because PBMs negotiate discounts from drugs ' total cost , critics charge that they also push prices higher to make their discounts appear more favorable .",Deal,negotiate,,,645,,,,y,,,,,,,
amzn12_23,missing,"Because PBMs negotiate discounts from drugs ' total cost , critics charge that they also push prices higher to make their discounts appear more favorable .",CSR/Brand,critics,,,653,,,,,,,,,,,
amzn12_24,missing,"Amazon poses ` ` both an opportunity and a threat ' ' for Express Scripts Holding Company , the largest stand-alone PBM , Gupte said .",Macroeconomics,opportunity,,,675,,,,,,,y,,,,
amzn12_25,missing,"Express Scripts announced on Tuesday that it will buy privately-held medical benefit management company eviCore healthcare for $ 3.6 billion , a move that some saw as a response to the Amazon threat .",Merger/Acquisition,move,,,717,,,,,,,,,,,coref
amzn12_25,missing,"Express Scripts announced on Tuesday that it will buy privately-held medical benefit management company eviCore healthcare for $ 3.6 billion , a move that some saw as a response to the Amazon threat .",Macroeconomics,threat,,,727,,,,,,,,,,,
amzn12_26,mismatch_label,"Meanwhile , PBMs that are part of UnitedHealth Group and Humana Inc . will be more shielded , Gupte said .",Macroeconomics,shielded,CSR/Brand,shielded,745,745,,,,,,y,y,,,coref
amzn12_27,mismatch_label,"Drug distributors such as McKesson Corp . , AmerisourceBergen Corp . and Cardinal Health Inc . will likely have less exposure in the near term , according to Leerink ' s Larsen .",Macroeconomics,exposure,CSR/Brand,exposure,770,770,,,y,,,y,y,,,
amzn12_28,missing,Reasons for skepticism : A recent report that Amazon had obtained approval to become a wholesale distributors in several states sent pharmaceutical supply chain stocks down again in late October .,Product/Service,approval,,,794,,,,,y,,,,,,
amzn12_29,missing,But scrutiny of those approvals by the investment firm Jefferies found something important : Correspondence between two state pharmacy boards and Amazon showed that those state licenses could only be used for medical device and supplies distribution .,Product/Service,approvals,,,818,,,,,y,,,,,,
amzn12_29,missing,But scrutiny of those approvals by the investment firm Jefferies found something important : Correspondence between two state pharmacy boards and Amazon showed that those state licenses could only be used for medical device and supplies distribution .,Product/Service,licenses,,,840,,,,,y,,,,,,
amzn12_30,missing,"That does n't rule out a pharmaceutical entry , but it does suggest that Amazon is starting with other , potentially easier medical products .",Product/Service,it,,,862,,,,,,,,,,,coref
amzn12_30,missing,"That does n't rule out a pharmaceutical entry , but it does suggest that Amazon is starting with other , potentially easier medical products .",Macroeconomics,entry,,,859,,,,,,,,,,,
amzn12_30,missing,"That does n't rule out a pharmaceutical entry , but it does suggest that Amazon is starting with other , potentially easier medical products .",Product/Service,starting,,,868,,,,,,,,,,,
amzn12_32,missing,"Before acquiring Whole Foods this year , Amazon had talked about entering the grocery industry for more than a decade , Hynes noted .",Macroeconomics,entering,,,896,,,,,,,,,,,
amzn12_34,missing,"In addition , even after CNBC reported on the online retailer ' s purported plan , the company did not list any pharmacy-related jobs , Hynes said .",Employment,jobs,,,952,,,,,,,,,,,
amzn12_34,missing,"In addition , even after CNBC reported on the online retailer ' s purported plan , the company did not list any pharmacy-related jobs , Hynes said .",Macroeconomics,plan,,,943,,,,,,,,,,,coref
amzn12_35,missing,"And , if the company did decide to move into pharmacy , ` ` there is no obvious asset to buy , ' ' Hynes said .",Macroeconomics,move,,,965,,,,,,,,,,,coref
amzn12_35,missing,"And , if the company did decide to move into pharmacy , ` ` there is no obvious asset to buy , ' ' Hynes said .",Merger/Acquisition,buy,,,977,,,,,,,y,y,,,
amzn12_36,missing,"Amazon would need to either build or buy pharmacy capabilities , Gupte said , and could target a smaller player like specialty pharmacy Avella or acquire a larger entity .",Investment,build,,,989,,,,,,,y,,,,
amzn12_36,missing,"Amazon would need to either build or buy pharmacy capabilities , Gupte said , and could target a smaller player like specialty pharmacy Avella or acquire a larger entity .",Merger/Acquisition,target,,,1000,,,,,,,,,,,
amzn12_39,spurious,"Walgreens shares fell 3.4 % in Oct . 9 trade after the CNBC report , CVS shares declined 3.5 % , Wal-Mart shares rose 2.7 % and shares of Express Scripts plummeted 4.9 % .",,,SecurityValue,fell,,1066,1,,,,,,,,,
amzn12_39,spurious,"Walgreens shares fell 3.4 % in Oct . 9 trade after the CNBC report , CVS shares declined 3.5 % , Wal-Mart shares rose 2.7 % and shares of Express Scripts plummeted 4.9 % .",,,SecurityValue,declined,,1081,1,,,,,,,,,
amzn12_39,spurious,"Walgreens shares fell 3.4 % in Oct . 9 trade after the CNBC report , CVS shares declined 3.5 % , Wal-Mart shares rose 2.7 % and shares of Express Scripts plummeted 4.9 % .",,,SecurityValue,rose,,1087,1,,,,,,,,,
amzn12_39,spurious,"Walgreens shares fell 3.4 % in Oct . 9 trade after the CNBC report , CVS shares declined 3.5 % , Wal-Mart shares rose 2.7 % and shares of Express Scripts plummeted 4.9 % .",,,SecurityValue,plummeted,,1095,1,,,,,,,,,
amzn12_39,missing,"Walgreens shares fell 3.4 % in Oct . 9 trade after the CNBC report , CVS shares declined 3.5 % , Wal-Mart shares rose 2.7 % and shares of Express Scripts plummeted 4.9 % .",SecurityValue,shares,,,1091,,1,,,,,,,,,
amzn12_40,spurious,"Shares of the companies have dropped 13.4 % , 11.7 % , risen 12.4 % and dropped 1.9 % over the last three months , respectively , compared with a 4.5 % rise in the S & P 500 .",,,SecurityValue,Shares,,1099,1,,,,y,,,,,
amzn13_1,spurious,"Shares of Amazon ( AMZN ) are higher on Thursday , par for the course as the ecommerce giant has trounced many traditional retailers , and Cowen & Co . thinks they will keep rising still .",,,SecurityValue,higher,,14,1,,,,,,,,,
amzn13_1,missing,"Shares of Amazon ( AMZN ) are higher on Thursday , par for the course as the ecommerce giant has trounced many traditional retailers , and Cowen & Co . thinks they will keep rising still .",SecurityValue,Shares,,,7,,1,,,,,,,,,
amzn13_2,spurious,"Analyst John Blackledge and his team reiterated an Outperform rating on the stock today and raised their price target from $ 1,225 to $ 1,500 , calling it their best idea for 2018 .",,,Rating,Outperform,,52,1,,,,,,,,,
amzn13_3,missing,"Although Amazon has already been on a tear this year , rising nearly 55 % since the start of 2017 , they think that the stock will be able to keep climbing , thanks to catalysts across its business , from the cloud to ecommerce .",SecurityValue,keep,,,108,,1,,,y,,,,,,
amzn13_5,spurious,"` ` ( i ) Further B2C eCommerce market share gains in large retail verticals like Apparel , Consumables , & Food & Bev Grocery , key drivers of the eCommerce business near and intermediate term ;",,,Macroeconomics,share,,142,1,,y,,y,,,,,
